Id,Name,2nd at Folsom,2nd at South Park,2nd at Townsend,5th at Howard,5th St at Folsom St,Beale at Market,Broadway St at Battery St,Civic Center BART (7th at Market),Clay at Battery,Commercial at Montgomery,Cyril Magnin St at Ellis St,Davis at Jackson,Embarcadero at Bryant,Embarcadero at Folsom,Embarcadero at Sansome,Embarcadero at Vallejo,Golden Gate at Polk,Grant Avenue at Columbus Avenue,Harry Bridges Plaza (Ferry Building),Howard at 2nd,Market at 10th,Market at 4th,Market at Sansome,Mechanics Plaza (Market at Battery),Post at Kearney,Powell at Post (Union Square),Powell Street BART,San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,South Van Ness at Market,Spear at Folsom,Steuart at Market,Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,Washington at Kearney,Yerba Buena Center of the Arts (3rd @ Howard),
1,2nd at Folsom,79,154,339,3,149,54,31,54,18,26,0,32,32,29,41,11,10,74,390,24,158,100,553,22,36,64,81,469,460,44,55,46,79,189,331,16,22
2,2nd at South Park,240,75,192,1,58,272,27,54,59,79,1,88,56,154,94,152,16,177,727,286,176,226,1636,69,212,69,182,242,276,23,49,92,351,270,114,183,74
3,2nd at Townsend,620,231,212,15,77,447,296,66,278,86,0,409,297,730,478,204,47,133,2531,532,189,238,1039,187,98,155,158,802,306,82,49,503,2136,1233,565,70,117
4,5th at Howard,0,0,8,2,0,3,0,9,0,0,0,0,2,0,0,0,13,0,2,1,2,20,2,14,0,21,3,18,16,4,2,0,3,1,3,0,2
5,5th St at Folsom St,140,64,110,8,71,80,21,138,50,63,0,11,19,86,68,34,151,36,225,266,263,289,105,79,109,220,112,607,1428,40,45,76,148,712,125,116,197
6,Beale at Market,56,66,204,3,103,86,477,89,66,56,0,124,204,52,543,129,202,286,61,27,191,154,165,23,75,168,170,953,534,32,162,67,17,98,51,83,55
7,Broadway St at Battery St,44,31,183,1,13,600,76,19,68,90,0,111,126,73,178,26,100,65,192,24,30,82,252,153,43,23,62,517,406,8,83,77,432,482,16,29,21
8,Civic Center BART (7th at Market),84,47,49,4,70,48,43,111,51,42,2,48,52,73,104,18,49,105,52,49,390,276,124,148,56,178,54,292,254,44,187,58,84,239,1073,62,40
9,Clay at Battery,55,71,195,0,35,46,155,43,130,30,1,38,146,36,424,44,27,349,120,44,26,84,129,31,62,68,63,611,369,25,21,79,203,405,24,33,38
10,Commercial at Montgomery,206,94,160,1,19,301,76,37,17,50,1,154,299,56,115,29,23,331,111,69,122,94,179,227,167,50,114,340,295,55,65,360,79,513,55,23,207
