Id,Name,2nd at Folsom,2nd at South Park,2nd at Townsend,5th at Howard,5th St at Folsom St,Beale at Market,Broadway St at Battery St,Civic Center BART (7th at Market),Clay at Battery,Commercial at Montgomery,Cyril Magnin St at Ellis St,Davis at Jackson,Embarcadero at Bryant,Embarcadero at Folsom,Embarcadero at Sansome,Embarcadero at Vallejo,Golden Gate at Polk,Grant Avenue at Columbus Avenue,Harry Bridges Plaza (Ferry Building),Howard at 2nd,Market at 10th,Market at 4th,Market at Sansome,Mechanics Plaza (Market at Battery),Post at Kearney,Powell at Post (Union Square),Powell Street BART,San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,South Van Ness at Market,Spear at Folsom,Steuart at Market,Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,Washington at Kearney,Yerba Buena Center of the Arts (3rd @ Howard),total_going,total_coming
1,2nd at Folsom,79,240,620,0,140,56,44,84,55,206,1,58,62,98,65,44,19,66,621,103,166,96,1132,66,44,181,73,1171,532,37,34,331,137,412,207,68,115,7463,4275
2,2nd at South Park,154,75,231,0,64,66,31,47,71,94,0,99,56,133,136,191,26,140,920,396,142,176,1710,79,244,179,146,640,244,18,69,98,242,312,246,140,107,7722,7052
3,2nd at Townsend,339,192,212,8,110,204,183,49,195,160,1,453,141,607,385,264,25,94,2781,581,76,195,1337,243,101,99,104,843,292,59,50,315,1396,952,861,51,141,14099,15616
4,5th at Howard,3,1,15,2,8,3,1,4,0,1,0,1,0,0,1,2,17,2,3,1,2,20,1,8,9,14,0,4,18,2,5,8,10,0,4,1,2,173,151
5,5th St at Folsom St,149,58,77,0,71,103,13,70,35,19,0,12,14,40,67,26,100,44,172,247,149,299,97,75,223,212,40,157,1490,36,76,73,346,535,199,68,44,5436,6312
6,Beale at Market,54,272,447,3,80,86,600,48,46,301,0,153,310,79,607,201,91,124,118,49,139,149,118,41,88,129,116,1409,570,24,85,211,67,399,41,36,81,7372,5832
7,Broadway St at Battery St,31,27,296,0,21,477,76,43,155,76,0,181,99,95,185,45,54,42,223,34,35,148,287,331,54,54,68,936,394,17,45,48,601,438,28,16,35,5695,4736
8,Civic Center BART (7th at Market),54,54,66,9,138,89,19,111,43,37,1,47,19,87,142,35,29,113,111,30,249,322,203,148,92,156,69,162,544,49,188,46,172,227,1026,111,45,5043,4660
9,Clay at Battery,18,59,278,0,50,66,68,51,130,17,0,46,78,36,361,55,28,308,171,38,39,103,97,73,61,136,47,1056,259,12,15,87,53,351,26,43,41,4357,4260
10,Commercial at Montgomery,26,79,86,0,63,56,90,42,30,50,2,220,336,73,142,18,23,42,134,89,120,105,352,239,102,189,122,646,297,100,71,206,74,393,64,7,281,4969,5094
