date,Trips,Temperature,Visibility,WindSpeed
9/1/2015,1202,67,10,9
9/2/2015,1132,68,10,12
9/3/2015,1117,65,10,12
9/4/2015,965,64,10,10
9/5/2015,332,65,10,7
9/6/2015,242,68,10,5
9/7/2015,277,73,10,5
9/8/2015,1141,76,10,6
9/9/2015,1218,77,10,5
9/10/2015,1176,74,10,6
9/11/2015,997,70,10,8
9/12/2015,315,67,10,9
9/13/2015,256,68,10,8
9/14/2015,1025,67,10,14
9/15/2015,1239,65,10,16
9/16/2015,1085,66,10,12
9/17/2015,1137,65,10,8
9/18/2015,1082,67,10,6
9/19/2015,329,71,10,4
9/20/2015,270,74,10,5
9/21/2015,1176,76,10,7
9/22/2015,1196,62,9,11
9/23/2015,1065,64,10,6
9/24/2015,1174,73,10,5
9/25/2015,1127,66,10,7
9/26/2015,280,65,10,7
9/27/2015,283,65,9,6
9/28/2015,1160,62,10,7
9/29/2015,1240,64,10,9
9/30/2015,1049,61,10,3
10/1/2015,1094,67,10,7
10/2/2015,1050,64,10,6
10/3/2015,252,62,9,8
10/4/2015,263,63,10,7
10/5/2015,1123,65,10,5
10/6/2015,1143,66,10,7
10/7/2015,1174,67,10,7
10/8/2015,1122,68,10,5
10/9/2015,1030,67,10,6
10/10/2015,285,67,6,7
10/11/2015,306,66,10,7
10/12/2015,635,69,10,4
10/13/2015,1228,73,10,4
10/14/2015,1201,68,10,5
10/15/2015,1102,66,10,7
10/16/2015,1034,67,10,9
10/17/2015,245,66,10,10
10/18/2015,199,66,10,13
10/19/2015,1142,64,10,8
10/20/2015,1231,67,10,7
10/21/2015,1148,64,10,5
10/22/2015,1176,63,10,6
10/23/2015,1068,63,10,5
10/24/2015,273,63,8,6
10/25/2015,237,63,10,6
10/26/2015,1119,66,9,5
10/27/2015,1140,64,10,4
10/28/2015,1088,63,10,6
10/29/2015,1166,63,10,7
10/30/2015,1088,62,10,4
10/31/2015,220,64,10,8
11/1/2015,197,63,10,6
11/2/2015,765,58,8,8
11/3/2015,1079,56,10,7
11/4/2015,1072,56,10,8
11/5/2015,1131,54,10,4
11/6/2015,987,56,10,4
11/7/2015,277,55,10,5
11/8/2015,161,55,10,8
11/9/2015,713,54,8,13
11/10/2015,669,52,10,6
11/11/2015,616,50,10,5
11/12/2015,647,52,10,5
11/13/2015,1035,56,10,3
11/14/2015,269,52,10,5
11/15/2015,168,32,8,19
11/16/2015,1080,54,10,12
11/17/2015,1085,56,10,5
11/18/2015,1127,53,10,4
11/19/2015,1016,55,9,4
11/20/2015,1053,57,10,4
11/21/2015,219,58,10,5
11/22/2015,203,53,10,2
11/23/2015,938,52,8,6
11/24/2015,824,53,9,14
11/25/2015,574,46,10,5
11/26/2015,91,46,10,7
11/27/2015,144,47,10,5
11/28/2015,162,49,10,8
11/29/2015,140,45,10,6
11/30/2015,884,44,10,4
12/1/2015,985,48,10,5
12/2/2015,981,50,10,3
12/3/2015,798,50,8,10
12/4/2015,876,50,10,4
12/5/2015,178,47,10,3
12/6/2015,88,54,8,5
12/7/2015,935,54,5,3
